"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
62657,4171,0.271823410818634,0.983387119826074,"Zipf Markov control",2,2002,"strict equifinality"
73223,4321,0.271823410818634,0.983387119826074,"Zipf Markov control",2,2002,"strict equifinality"
85570,4466,0.271823410818634,0.983387119826074,"Zipf Markov control",2,2002,"strict equifinality"
100000,4605,0.271823410818634,0.983387119826074,"Zipf Markov control",2,2002,"strict equifinality"
500,7,3.05019999233878,0.597548886214499,"latent mixture",2,2002,"strict equifinality"
584,88,3.05019999233878,0.597548886214499,"latent mixture",2,2002,"strict equifinality"
683,183,3.05019999233878,0.597548886214499,"latent mixture",2,2002,"strict equifinality"
798,249,3.05019999233878,0.597548886214499,"latent mixture",2,2002,"strict equifinality"
933,252,1.04993132208559,0.689667683407392,"latent mixture",2,2002,"strict equifinality"
1090,254,0.496946302531918,0.822714320776461,"latent mixture",2,2002,"strict equifinality"
1274,263,0.69662383666824,0.692309170798056,"latent mixture",2,2002,"strict equifinality"
1488,316,0.927975474342711,0.832046021660019,"latent mixture",2,2002,"strict equifinality"
1739,317,1.01871165860691,0.886251247590906,"latent mixture",2,2002,"strict equifinality"
2033,547,1.26116817571817,0.911183810545124,"latent mixture",2,2002,"strict equifinality"
2375,547,1.26670198369789,0.912362457863065,"latent mixture",2,2002,"strict equifinality"
2776,571,1.22931474405858,0.902888691472736,"latent mixture",2,2002,"strict equifinality"
3244,925,1.05785644910234,0.918639420985297,"latent mixture",2,2002,"strict equifinality"
3791,963,1.18427905797107,0.953002841127311,"latent mixture",2,2002,"strict equifinality"
4431,1091,1.17716089329413,0.952233370459545,"latent mixture",2,2002,"strict equifinality"
5178,1351,0.91975166170734,0.962176921868756,"latent mixture",2,2002,"strict equifinality"
6051,1633,0.902993114555021,0.955880616658338,"latent mixture",2,2002,"strict equifinality"
7071,1935,0.765877193507019,0.9234952185013,"latent mixture",2,2002,"strict equifinality"
8263,1935,0.588877320301306,0.928751918894809,"latent mixture",2,2002,"strict equifinality"
9657,2168,0.466867650365549,0.962389707058001,"latent mixture",2,2002,"strict equifinality"
11285,2291,0.41854781822427,0.980779668930272,"latent mixture",2,2002,"strict equifinality"
13188,2444,0.436876540897216,0.990074609963806,"latent mixture",2,2002,"strict equifinality"
15412,2605,0.393884971228507,0.997556602812915,"latent mixture",2,2002,"strict equifinality"
18011,2803,0.385554820513926,0.996443930094733,"latent mixture",2,2002,"strict equifinality"
21049,2949,0.370333298854222,0.99666980393771,"latent mixture",2,2002,"strict equifinality"
24598,3104,0.401398702943941,0.980329924219881,"latent mixture",2,2002,"strict equifinality"
28746,3284,0.411913029317063,0.980883013911704,"latent mixture",2,2002,"strict equifinality"
33594,3469,0.419500409137266,0.984004889870337,"latent mixture",2,2002,"strict equifinality"
39259,3909,0.395627261274694,0.969552785626768,"latent mixture",2,2002,"strict equifinality"
45879,4075,0.35145187661808,0.946004148994345,"latent mixture",2,2002,"strict equifinality"
53616,4272,0.291885173457805,0.927246331242242,"latent mixture",2,2002,"strict equifinality"
62657,4389,0.213455939574848,0.984176710886757,"latent mixture",2,2002,"strict equifinality"
73223,4544,0.213455939574848,0.984176710886757,"latent mixture",2,2002,"strict equifinality"
85570,4680,0.213455939574848,0.984176710886757,"latent mixture",2,2002,"strict equifinality"
100000,4763,0.213455939574848,0.984176710886757,"latent mixture",2,2002,"strict equifinality"
500,298,0.763067822730068,0.99933729035543,"sample-space reduction",2,2002,"strict equifinality"
584,337,0.763067822730068,0.99933729035543,"sample-space reduction",2,2002,"strict equifinality"
683,380,0.763067822730068,0.99933729035543,"sample-space reduction",2,2002,"strict equifinality"
798,433,0.763067822730068,0.99933729035543,"sample-space reduction",2,2002,"strict equifinality"
933,484,0.75092789217756,0.999350809653356,"sample-space reduction",2,2002,"strict equifinality"
1090,538,0.741475716111554,0.999467153095617,"sample-space reduction",2,2002,"strict equifinality"
1274,611,0.731251942872672,0.999722900226253,"sample-space reduction",2,2002,"strict equifinality"
1488,681,0.731961500195771,0.99973758652745,"sample-space reduction",2,2002,"strict equifinality"
1739,764,0.711347988865342,0.998156704619509,"sample-space reduction",2,2002,"strict equifinality"
2033,855,0.68378401974359,0.998351820112292,"sample-space reduction",2,2002,"strict equifinality"
2375,956,0.6715291934552,0.998552185629069,"sample-space reduction",2,2002,"strict equifinality"
2776,1041,0.658928096036963,0.999158195984279,"sample-space reduction",2,2002,"strict equifinality"
3244,1155,0.654875815658387,0.999350906398911,"sample-space reduction",2,2002,"strict equifinality"
3791,1286,0.646722169259029,0.999092267251387,"sample-space reduction",2,2002,"strict equifinality"
4431,1425,0.63801581441578,0.998085489863463,"sample-space reduction",2,2002,"strict equifinality"
5178,1583,0.615362359323632,0.99777376726752,"sample-space reduction",2,2002,"strict equifinality"
6051,1727,0.591105457808941,0.998418095163352,"sample-space reduction",2,2002,"strict equifinality"
7071,1879,0.577045902473762,0.999352694629305,"sample-space reduction",2,2002,"strict equifinality"
8263,2059,0.566768793394213,0.999878204561054,"sample-space reduction",2,2002,"strict equifinality"
9657,2245,0.566901417808495,0.999881523767251,"sample-space reduction",2,2002,"strict equifinality"
11285,2464,0.55926831894069,0.999431008465444,"sample-space reduction",2,2002,"strict equifinality"
13188,2684,0.534942586334551,0.997461037523855,"sample-space reduction",2,2002,"strict equifinality"
15412,2925,0.505179301342801,0.995150155153443,"sample-space reduction",2,2002,"strict equifinality"
18011,3160,0.469795973108313,0.995018813346573,"sample-space reduction",2,2002,"strict equifinality"
21049,3371,0.433081511557285,0.994236628558111,"sample-space reduction",2,2002,"strict equifinality"
24598,3597,0.395774873183953,0.995030471220265,"sample-space reduction",2,2002,"strict equifinality"
28746,3829,0.364065975363671,0.994909918150522,"sample-space reduction",2,2002,"strict equifinality"
33594,4033,0.330224144848813,0.989831819671798,"sample-space reduction",2,2002,"strict equifinality"
39259,4237,0.293203436145078,0.987105919971655,"sample-space reduction",2,2002,"strict equifinality"
45879,4435,0.258208571133158,0.987254907211797,"sample-space reduction",2,2002,"strict equifinality"
53616,4582,0.221970483843786,0.978813639723334,"sample-space reduction",2,2002,"strict equifinality"
62657,4736,0.181719328431183,0.964424530263603,"sample-space reduction",2,2002,"strict equifinality"
73223,4879,0.181719328431183,0.964424530263603,"sample-space reduction",2,2002,"strict equifinality"
85570,4960,0.181719328431183,0.964424530263603,"sample-space reduction",2,2002,"strict equifinality"
100000,5016,0.181719328431183,0.964424530263603,"sample-space reduction",2,2002,"strict equifinality"
500,284,0.742901729536052,0.999401044293222,"finite Zipf reference",3,2003,"strict equifinality"
584,319,0.742901729536052,0.999401044293222,"finite Zipf reference",3,2003,"strict equifinality"
683,355,0.742901729536052,0.999401044293222,"finite Zipf reference",3,2003,"strict equifinality"
798,399,0.742901729536052,0.999401044293222,"finite Zipf reference",3,2003,"strict equifinality"
933,446,0.761343626810187,0.998977691684619,"finite Zipf reference",3,2003,"strict equifinality"
1090,504,0.779543540068058,0.999501722697617,"finite Zipf reference",3,2003,"strict equifinality"
1274,572,0.784033233392472,0.99966703546648,"finite Zipf reference",3,2003,"strict equifinality"
1488,650,0.779122160644645,0.999394062875037,"finite Zipf reference",3,2003,"strict equifinality"
1739,733,0.751566994005043,0.998087216829025,"finite Zipf reference",3,2003,"strict equifinality"
2033,823,0.724000788506587,0.998288622677661,"finite Zipf reference",3,2003,"strict equifinality"
2375,919,0.700823874037694,0.999216847073367,"finite Zipf reference",3,2003,"strict equifinality"
2776,1013,0.682793002272867,0.99959334594713,"finite Zipf reference",3,2003,"strict equifinality"
3244,1131,0.668787521897383,0.999715466147637,"finite Zipf reference",3,2003,"strict equifinality"
3791,1259,0.663808567997694,0.999769218327977,"finite Zipf reference",3,2003,"strict equifinality"
4431,1391,0.662647936920965,0.999753464736357,"finite Zipf reference",3,2003,"strict equifinality"
5178,1536,0.651134987392541,0.999842564877229,"finite Zipf reference",3,2003,"strict equifinality"
6051,1707,0.635195492799308,0.999317725303718,"finite Zipf reference",3,2003,"strict equifinality"
7071,1889,0.616030363940549,0.998222852316957,"finite Zipf reference",3,2003,"strict equifinality"
8263,2078,0.590123240133381,0.997339529767879,"finite Zipf reference",3,2003,"strict equifinality"
9657,2265,0.561201279424933,0.998108083830699,"finite Zipf reference",3,2003,"strict equifinality"
11285,2463,0.529405613159463,0.997927777825227,"finite Zipf reference",3,2003,"strict equifinality"
13188,2671,0.499251133090676,0.997302928441084,"finite Zipf reference",3,2003,"strict equifinality"
15412,2896,0.471285393802613,0.996313476075283,"finite Zipf reference",3,2003,"strict equifinality"
18011,3095,0.443704516263452,0.996472268993518,"finite Zipf reference",3,2003,"strict equifinality"
21049,3305,0.413142868537671,0.996398783718942,"finite Zipf reference",3,2003,"strict equifinality"
24598,3518,0.378542209107567,0.994916037922137,"finite Zipf reference",3,2003,"strict equifinality"
28746,3740,0.348235579911626,0.991491375365558,"finite Zipf reference",3,2003,"strict equifinality"
33594,3936,0.311708948480014,0.987432880107791,"finite Zipf reference",3,2003,"strict equifinality"
39259,4106,0.27766543438273,0.988174440969696,"finite Zipf reference",3,2003,"strict equifinality"
