"alpha","r2","n_fit","effective_r_max","vocabulary","tokens","r_max","generator","replicate","seed","benchmark"
0.971938597192,0.998842730931782,991,1000,4595,100000,1000,"Zipf Markov control",12,2012,"strict equifinality"
0.961439302686421,0.998470404080901,1991,2000,4595,100000,2000,"Zipf Markov control",12,2012,"strict equifinality"
0.967344136811819,0.99813820767093,2555,2564,4595,100000,3000,"Zipf Markov control",12,2012,"strict equifinality"
0.960794315091397,0.998529947646618,291,300,4747,100000,300,"latent mixture",12,2012,"strict equifinality"
0.963271697668797,0.999132115017195,491,500,4747,100000,500,"latent mixture",12,2012,"strict equifinality"
0.95752464480224,0.9991914565173,991,1000,4747,100000,1000,"latent mixture",12,2012,"strict equifinality"
0.960307352054807,0.998631000934954,1991,2000,4747,100000,2000,"latent mixture",12,2012,"strict equifinality"
0.967110186104227,0.998106724932082,2405,2414,4747,100000,3000,"latent mixture",12,2012,"strict equifinality"
1.00635438119872,0.99939178281291,291,300,5009,100000,300,"sample-space reduction",12,2012,"strict equifinality"
1.00528206925213,0.999495528826998,491,500,5009,100000,500,"sample-space reduction",12,2012,"strict equifinality"
0.989602551321074,0.999309039715204,991,1000,5009,100000,1000,"sample-space reduction",12,2012,"strict equifinality"
0.97751027797188,0.998730291582138,1991,2000,5009,100000,2000,"sample-space reduction",12,2012,"strict equifinality"
0.969292117039282,0.997995237694664,2627,2636,5009,100000,3000,"sample-space reduction",12,2012,"strict equifinality"
0.993122033430336,0.998956763379372,291,300,4878,100000,300,"finite Zipf reference",13,2013,"strict equifinality"
0.993623483705608,0.999362047428271,491,500,4878,100000,500,"finite Zipf reference",13,2013,"strict equifinality"
0.985243280008477,0.999379805473939,991,1000,4878,100000,1000,"finite Zipf reference",13,2013,"strict equifinality"
0.979522972214687,0.998805907128675,1991,2000,4878,100000,2000,"finite Zipf reference",13,2013,"strict equifinality"
0.974483876068573,0.998251168447458,2587,2596,4878,100000,3000,"finite Zipf reference",13,2013,"strict equifinality"
1.00513536063496,0.999210278783313,291,300,4617,100000,300,"Zipf Markov control",13,2013,"strict equifinality"
0.98505701547823,0.999002822199807,491,500,4617,100000,500,"Zipf Markov control",13,2013,"strict equifinality"
0.966711111335743,0.99886391748489,991,1000,4617,100000,1000,"Zipf Markov control",13,2013,"strict equifinality"
0.95329669547486,0.998341539775886,1991,2000,4617,100000,2000,"Zipf Markov control",13,2013,"strict equifinality"
0.961221575851605,0.997944364976818,2564,2573,4617,100000,3000,"Zipf Markov control",13,2013,"strict equifinality"
0.986137638169259,0.998869459502476,291,300,4687,100000,300,"latent mixture",13,2013,"strict equifinality"
1.00991095673879,0.998730801529314,491,500,4687,100000,500,"latent mixture",13,2013,"strict equifinality"
1.04091371733653,0.998498356133638,991,1000,4687,100000,1000,"latent mixture",13,2013,"strict equifinality"
1.05897845093054,0.99808607109945,1991,2000,4687,100000,2000,"latent mixture",13,2013,"strict equifinality"
1.05430591739893,0.997869321990992,2108,2117,4687,100000,3000,"latent mixture",13,2013,"strict equifinality"
0.981390924854376,0.998830259194367,291,300,5035,100000,300,"sample-space reduction",13,2013,"strict equifinality"
0.984723417608042,0.999267396094618,491,500,5035,100000,500,"sample-space reduction",13,2013,"strict equifinality"
0.988659732696005,0.999369449921196,991,1000,5035,100000,1000,"sample-space reduction",13,2013,"strict equifinality"
0.982284176089638,0.998786777548419,1991,2000,5035,100000,2000,"sample-space reduction",13,2013,"strict equifinality"
0.975998247483859,0.998203959931029,2576,2585,5035,100000,3000,"sample-space reduction",13,2013,"strict equifinality"
0.981814954644907,0.999295877656208,291,300,4840,100000,300,"finite Zipf reference",14,2014,"strict equifinality"
