"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
500,191,0.86309964094036,0.999425572409022,"random segmentation",4,2004,"Zipf-compatible / mimicking"
584,219,0.86309964094036,0.999425572409022,"random segmentation",4,2004,"Zipf-compatible / mimicking"
683,250,0.86309964094036,0.999425572409022,"random segmentation",4,2004,"Zipf-compatible / mimicking"
798,283,0.86309964094036,0.999425572409022,"random segmentation",4,2004,"Zipf-compatible / mimicking"
933,331,0.840093803463479,0.998211697812672,"random segmentation",4,2004,"Zipf-compatible / mimicking"
1090,376,0.80211283359165,0.995296547894629,"random segmentation",4,2004,"Zipf-compatible / mimicking"
1274,426,0.748017987928762,0.9918010267003,"random segmentation",4,2004,"Zipf-compatible / mimicking"
1488,474,0.7118720667098,0.996909702590271,"random segmentation",4,2004,"Zipf-compatible / mimicking"
1739,523,0.716971957796819,0.996252639140908,"random segmentation",4,2004,"Zipf-compatible / mimicking"
2033,573,0.74489866665191,0.993877994118892,"random segmentation",4,2004,"Zipf-compatible / mimicking"
2375,657,0.787673031269401,0.994965061429883,"random segmentation",4,2004,"Zipf-compatible / mimicking"
2776,750,0.818010455205856,0.998152838640341,"random segmentation",4,2004,"Zipf-compatible / mimicking"
3244,859,0.824685206018553,0.99885898309285,"random segmentation",4,2004,"Zipf-compatible / mimicking"
3791,979,0.805386509324418,0.999081069064903,"random segmentation",4,2004,"Zipf-compatible / mimicking"
4431,1100,0.781644236155683,0.999046063741354,"random segmentation",4,2004,"Zipf-compatible / mimicking"
5178,1234,0.764715720155377,0.999664050996506,"random segmentation",4,2004,"Zipf-compatible / mimicking"
6051,1401,0.755400278653024,0.999848908417289,"random segmentation",4,2004,"Zipf-compatible / mimicking"
7071,1562,0.768125942985305,0.999457079981057,"random segmentation",4,2004,"Zipf-compatible / mimicking"
8263,1765,0.777219497729784,0.999426575489011,"random segmentation",4,2004,"Zipf-compatible / mimicking"
9657,1981,0.784197082706305,0.999376325013185,"random segmentation",4,2004,"Zipf-compatible / mimicking"
11285,2270,0.793422984339193,0.999767290584544,"random segmentation",4,2004,"Zipf-compatible / mimicking"
13188,2559,0.79045909152163,0.999705210002761,"random segmentation",4,2004,"Zipf-compatible / mimicking"
15412,2900,0.788608086029111,0.999691603561677,"random segmentation",4,2004,"Zipf-compatible / mimicking"
18011,3266,0.779607013208108,0.999965255580013,"random segmentation",4,2004,"Zipf-compatible / mimicking"
21049,3680,0.779669967696235,0.999965425236198,"random segmentation",4,2004,"Zipf-compatible / mimicking"
24598,4167,0.774521503501668,0.999932058918576,"random segmentation",4,2004,"Zipf-compatible / mimicking"
28746,4708,0.767626224353453,0.999757626864191,"random segmentation",4,2004,"Zipf-compatible / mimicking"
33594,5309,0.757923614552583,0.999666285188397,"random segmentation",4,2004,"Zipf-compatible / mimicking"
39259,5961,0.749290032869357,0.999851114823021,"random segmentation",4,2004,"Zipf-compatible / mimicking"
45879,6671,0.749035638217391,0.999859430671342,"random segmentation",4,2004,"Zipf-compatible / mimicking"
53616,7485,0.752416763676047,0.999809513579339,"random segmentation",4,2004,"Zipf-compatible / mimicking"
62657,8430,0.757980122349856,0.999861985476207,"random segmentation",4,2004,"Zipf-compatible / mimicking"
73223,9531,0.757980122349856,0.999861985476207,"random segmentation",4,2004,"Zipf-compatible / mimicking"
85570,10728,0.757980122349856,0.999861985476207,"random segmentation",4,2004,"Zipf-compatible / mimicking"
100000,12066,0.757980122349856,0.999861985476207,"random segmentation",4,2004,"Zipf-compatible / mimicking"
500,26,0.882826641236783,0.99305596780957,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
584,30,0.882826641236783,0.99305596780957,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
683,34,0.882826641236783,0.99305596780957,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
798,38,0.882826641236783,0.99305596780957,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
933,43,0.936959438543375,0.990900528212279,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
1090,51,0.978774537257482,0.994773404921254,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
1274,61,1.00518121879432,0.997637872942686,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
1488,72,1.02986028703429,0.9978504497826,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
1739,82,0.997739859978754,0.997766311877988,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
2033,95,0.971653677700179,0.998226663422395,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
2375,115,0.966111000948934,0.998240731125659,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
2776,130,0.974887288156455,0.998485666199715,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
