"top_k","transition_nmi","surrogate_nmi","transition_nmi_excess","transition_nmi_z","generator","replicate","seed","benchmark"
25,0.217138308622121,0.216837400444515,0.000300908177605141,0.473169326795641,"latent mixture",22,2022,"strict equifinality"
50,0.205547448038366,0.204927035661918,0.000620412376448082,1.28404975963402,"latent mixture",22,2022,"strict equifinality"
100,0.200993499934644,0.199776896270239,0.00121660366440474,2.40311345566229,"latent mixture",22,2022,"strict equifinality"
25,0.389241072582433,0.0132089623360954,0.376032110246337,2951.60155814089,"sample-space reduction",22,2022,"strict equifinality"
50,0.364684752382527,0.0156763196310847,0.349008432751442,1851.36125755214,"sample-space reduction",22,2022,"strict equifinality"
100,0.345744936536708,0.0265238887891301,0.319221047747578,1379.16187875698,"sample-space reduction",22,2022,"strict equifinality"
25,0.00174689586678129,0.00182757077512997,-8.06749083486747e-05,-0.756633611427302,"finite Zipf reference",23,2023,"strict equifinality"
50,0.00608498344979021,0.00600698254208398,7.80009077062322e-05,0.489691727772296,"finite Zipf reference",23,2023,"strict equifinality"
100,0.0178717573602586,0.01757232524617,0.000299432114088581,1.92556502823388,"finite Zipf reference",23,2023,"strict equifinality"
25,0.179216735517657,0.00193133885289973,0.177285396664757,2205.09515992049,"Zipf Markov control",23,2023,"strict equifinality"
50,0.193778316409498,0.00618877858062274,0.187589537828875,1484.98164116346,"Zipf Markov control",23,2023,"strict equifinality"
100,0.215722424152157,0.0178698038688317,0.197852620283325,1099.6685501765,"Zipf Markov control",23,2023,"strict equifinality"
25,0.209153857254405,0.20908207370781,7.17835465948169e-05,0.116234448283263,"latent mixture",23,2023,"strict equifinality"
50,0.196456510166955,0.196636202683451,-0.000179692516496355,-0.334939826373103,"latent mixture",23,2023,"strict equifinality"
100,0.191844585013306,0.192250374094654,-0.000405789081348668,-0.929991113668802,"latent mixture",23,2023,"strict equifinality"
25,0.391977065969002,0.0132724259339021,0.3787046400351,2911.65462625948,"sample-space reduction",23,2023,"strict equifinality"
50,0.365774419577092,0.0157691249992086,0.350005294577883,2404.18172649917,"sample-space reduction",23,2023,"strict equifinality"
100,0.346349613600474,0.0265897880407009,0.319759825559773,1254.32810209648,"sample-space reduction",23,2023,"strict equifinality"
25,0.00193516554625908,0.00179798707926557,0.000137178466993513,1.32531350254568,"finite Zipf reference",24,2024,"strict equifinality"
50,0.00600105469433701,0.00606501885150139,-6.39641571643784e-05,-0.41342651728834,"finite Zipf reference",24,2024,"strict equifinality"
100,0.0178126793106673,0.0175484768325376,0.000264202478129687,1.9042280809031,"finite Zipf reference",24,2024,"strict equifinality"
25,0.177827038212725,0.0018924953987105,0.175934542814015,1504.13053385512,"Zipf Markov control",24,2024,"strict equifinality"
50,0.194892660015074,0.00611566426963405,0.18877699574544,1111.05349049707,"Zipf Markov control",24,2024,"strict equifinality"
100,0.214108430769999,0.0177523331981582,0.196356097571841,1057.24163535407,"Zipf Markov control",24,2024,"strict equifinality"
25,0.192392409782624,0.19280633848686,-0.000413928704235678,-0.583473868590622,"latent mixture",24,2024,"strict equifinality"
50,0.183188584301418,0.183934315235082,-0.00074573093366459,-1.06710981970451,"latent mixture",24,2024,"strict equifinality"
100,0.182683731125426,0.183327888270149,-0.000644157144723323,-1.17784467210789,"latent mixture",24,2024,"strict equifinality"
25,0.391566255613517,0.0132597261138371,0.37830652949968,2775.16234110624,"sample-space reduction",24,2024,"strict equifinality"
50,0.366520925035865,0.0157065274151501,0.350814397620715,1890.14003901544,"sample-space reduction",24,2024,"strict equifinality"
100,0.347389929209168,0.0265109947760094,0.320878934433159,1415.10710606748,"sample-space reduction",24,2024,"strict equifinality"
25,0.00160961510095473,0.00177282460824779,-0.000163209507293053,-2.27898038460864,"finite Zipf reference",25,2025,"strict equifinality"
50,0.00584807027045569,0.00597238049768251,-0.000124310227226817,-1.08504691315422,"finite Zipf reference",25,2025,"strict equifinality"
100,0.0172683709506865,0.0175142319201087,-0.000245860969422189,-1.27551254043009,"finite Zipf reference",25,2025,"strict equifinality"
25,0.182328752844965,0.00192278863072489,0.18040596421424,1643.13300589719,"Zipf Markov control",25,2025,"strict equifinality"
50,0.196249100781275,0.00619729479944982,0.190051805981825,1406.21414039155,"Zipf Markov control",25,2025,"strict equifinality"
100,0.219443149495197,0.0177183186963071,0.20172483079889,1054.53979166215,"Zipf Markov control",25,2025,"strict equifinality"
25,0.201582176620069,0.200563139965706,0.00101903665436276,1.66629451249902,"latent mixture",25,2025,"strict equifinality"
50,0.192008060965644,0.191592109389501,0.000415951576142354,0.897760383677986,"latent mixture",25,2025,"strict equifinality"
100,0.192361692790045,0.191949126343386,0.00041256644665924,0.721126131023406,"latent mixture",25,2025,"strict equifinality"
25,0.392332270977419,0.0132666221840456,0.379065648793374,3461.41927424691,"sample-space reduction",25,2025,"strict equifinality"
50,0.366465575183025,0.0157068470652431,0.350758728117782,2273.08735798723,"sample-space reduction",25,2025,"strict equifinality"
100,0.346200300332805,0.0266157313214173,0.319584569011388,1710.92334557682,"sample-space reduction",25,2025,"strict equifinality"
25,0.00164762326612139,0.00182028020180659,-0.000172656935685193,-1.64703752038636,"finite Zipf reference",26,2026,"strict equifinality"
50,0.00571464910940668,0.00604598307785758,-0.000331333968450904,-2.01360097204011,"finite Zipf reference",26,2026,"strict equifinality"
100,0.0173463226433409,0.0175844978429867,-0.000238175199645804,-1.31413320920742,"finite Zipf reference",26,2026,"strict equifinality"
25,0.17986957077143,0.0019160417626846,0.177953529008746,1479.5694792801,"Zipf Markov control",26,2026,"strict equifinality"
50,0.194775626292068,0.00620068919523903,0.188574937096829,1660.99379279799,"Zipf Markov control",26,2026,"strict equifinality"
100,0.215151166339083,0.0178720449216748,0.197279121417408,891.721937294278,"Zipf Markov control",26,2026,"strict equifinality"
25,0.203416792344272,0.203954900158181,-0.000538107813909061,-0.639895302934059,"latent mixture",26,2026,"strict equifinality"
50,0.194229050683867,0.194678570740403,-0.000449520056535979,-0.636196905526206,"latent mixture",26,2026,"strict equifinality"
100,0.193951278804813,0.19447632195713,-0.000525043152316301,-0.738062150338849,"latent mixture",26,2026,"strict equifinality"
25,0.393225548213845,0.0132744615563603,0.379951086657484,3989.97330840912,"sample-space reduction",26,2026,"strict equifinality"
50,0.36738035083961,0.0157184332755618,0.351661917564048,2011.138495559,"sample-space reduction",26,2026,"strict equifinality"
100,0.347006328864461,0.0265795358435565,0.320426793020905,1817.76044211502,"sample-space reduction",26,2026,"strict equifinality"
25,0.00191596403681662,0.00177483725147589,0.000141126785340737,1.5439000889651,"finite Zipf reference",27,2027,"strict equifinality"
50,0.00612109208508915,0.00596491702780604,0.000156175057283111,1.00969588258865,"finite Zipf reference",27,2027,"strict equifinality"
100,0.0177753054670205,0.0175627879866367,0.000212517480383829,1.0625009328453,"finite Zipf reference",27,2027,"strict equifinality"
25,0.178955524612291,0.00189234496897633,0.177063179643314,1939.05756796816,"Zipf Markov control",27,2027,"strict equifinality"
50,0.196252153990751,0.00618247875979763,0.190069675230953,1618.32259110164,"Zipf Markov control",27,2027,"strict equifinality"
